,Date,Network,Impressions,Engagements,Engagement Rate,Post ID
413,2/25/2020 14:49,Facebook,4416,89.0,0.020153985507246376,82777273087_10158039223088088
419,6/8/2020 20:33,Facebook,2176,7.0,0.003216911764705882,82777273087_10158393368433088
423,10/28/2020 19:05,Facebook,1549,6.0,0.003873466752743706,82777273087_10158766463563088
424,11/7/2020 21:07,Facebook,1753,8.0,0.004563605248146035,82777273087_10158791122108088
429,10/2/2020 10:50,Facebook,2057,8.0,0.003889158969372873,82777273087_10158704340293088
431,3/13/2020 10:17,Facebook,2361,10.0,0.004235493434985175,82777273087_10158088033358088
432,11/24/2020 15:41,Facebook,1436,8.0,0.005571030640668524,82777273087_10158829072788088
433,8/15/2020 15:12,Facebook,2148,10.0,0.004655493482309125,82777273087_10158586078193088
439,4/28/2020 10:06,Facebook,1734,8.0,0.00461361014994233,82777273087_10158259116988088
440,4/13/2020 11:10,Facebook,1731,6.0,0.0034662045060658577,82777273087_10158201103913088
444,9/27/2020 10:36,Facebook,2121,12.0,0.005657708628005658,82777273087_10158692448328088
445,5/25/2020 11:06,Facebook,2412,9.0,0.0037313432835820895,82777273087_10158348090013088
446,9/19/2020 10:49,Facebook,2205,16.0,0.0072562358276643995,82777273087_10158673348453088
448,2/24/2020 9:48,Facebook,1693,6.0,0.0035440047253396337,82777273087_10158035694743088
450,3/28/2020 14:57,Facebook,2383,13.0,0.005455308434746118,82777273087_10158145134503088
455,8/18/2020 13:45,Facebook,2262,14.0,0.00618921308576481,82777273087_10158592969453088
456,2/12/2020 9:49,Facebook,1666,10.0,0.006002400960384154,82777273087_10158000127423088
459,1/21/2020 16:45,Facebook,1522,15.0,0.00985545335085414,82777273087_10157931418483088
460,1/17/2020 8:30,Facebook,1844,5.0,0.0027114967462039045,82777273087_10157918954473088
461,5/9/2020 17:54,Facebook,1935,8.0,0.004134366925064599,82777273087_10158299335523088
462,6/25/2020 17:00,Facebook,1837,8.0,0.004354926510615134,82777273087_10158444299318088
465,1/7/2020 10:08,Facebook,2021,11.0,0.0054428500742206825,82777273087_10157890153483088
466,3/3/2020 10:24,Facebook,1539,10.0,0.00649772579597141,82777273087_10158059012253088
467,8/25/2020 13:04,Facebook,1823,8.0,0.004388370817334065,82777273087_10158609927308088
471,2/26/2020 9:01,Facebook,1529,5.0,0.0032701111837802484,82777273087_10158041101848088
472,6/26/2020 17:39,Facebook,1043,4.0,0.003835091083413231,82777273087_10158447390998088
473,5/28/2020 16:18,Facebook,1987,9.0,0.004529441368897836,82777273087_10158358205108088
475,5/22/2020 15:56,Facebook,8637,193.0,0.022345721894176218,82777273087_10158339605663088
480,11/11/2020 15:40,Facebook,940,4.0,0.00425531914893617,82777273087_10158785249163088
482,8/3/2020 14:50,Facebook,1773,8.0,0.0045121263395375075,82777273087_10158555790998088
486,5/13/2020 20:07,Facebook,2132,10.0,0.004690431519699813,82777273087_10158312376203088
487,10/16/2020 17:19,Facebook,1574,8.0,0.005082592121982211,82777273087_10158738371423088
495,10/25/2020 10:18,Facebook,1469,7.0,0.004765146358066712,82777273087_10158758546003088
496,10/16/2020 17:19,Facebook,1555,12.0,0.0077170418006430866,82777273087_10158738371553088
