,Date,Network,Impressions,Engagements,Engagement Rate,Post ID
1373,2020-09-07 18:57:00,Twitter,1286,45.0,0.034992223950233284,1303150316913938439
1380,2020-09-03 08:45:00,Twitter,1522,54.0,0.035479632063074903,1301546796146196481
1381,2020-11-09 16:15:00,Twitter,1691,60.0,0.03548196333530455,1325955101400440832
1383,2020-11-26 08:09:00,Twitter,1123,40.0,0.03561887800534283,1331993396853035013
1384,2020-09-28 14:54:00,Twitter,1149,41.0,0.03568320278503046,1310699312238788614
1386,2020-04-12 18:10:00,Twitter,1705,61.0,0.03577712609970674,1249505182200848389
1395,2020-10-12 18:56:00,Twitter,1209,44.0,0.036393713813068655,1315833640438444033
1399,2020-07-07 10:31:00,Twitter,1147,42.0,0.036617262423714034,1280555015908798471
1403,2020-11-23 16:13:00,Twitter,1375,51.0,0.03709090909090909,1331028014306619392
1415,2020-07-30 15:25:00,Twitter,1264,48.0,0.0379746835443038,1288963841930518531
1421,2020-12-11 15:52:00,Twitter,1170,45.0,0.038461538461538464,1337545718031142923
1424,2020-10-24 17:05:00,Twitter,1143,44.0,0.03849518810148731,1320154365798338561
1425,2020-11-30 15:55:00,Twitter,1090,42.0,0.03853211009174312,1333560201107169282
1426,2020-12-07 18:50:00,Twitter,1608,62.0,0.03855721393034826,1336140953426472961
1437,2020-09-17 08:41:00,Twitter,1300,51.0,0.03923076923076923,1306619184873385984
1447,2020-10-03 04:55:00,Twitter,1122,45.0,0.040106951871657755,1312360506263511040
1453,2020-08-10 00:21:00,Twitter,1157,47.0,0.04062229904926534,1292722604881649664
1459,2020-12-08 18:51:00,Twitter,1220,50.0,0.040983606557377046,1336503590052093957
1473,2020-10-05 19:18:00,Twitter,1389,59.0,0.042476601871850254,1313302462355378181
1498,2020-11-02 07:08:00,Twitter,1864,82.0,0.043991416309012876,1323280722619191302
1508,2020-10-21 11:47:00,Twitter,1078,48.0,0.04452690166975881,1318987177393590273
1511,2020-12-10 06:51:00,Twitter,1069,48.0,0.04490177736202058,1337047182734729217
1513,2020-11-05 16:09:00,Twitter,1380,62.0,0.04492753623188406,1324504034972225537
1533,2020-12-30 10:35:00,Twitter,1348,63.0,0.04673590504451038,1344351311446372356
1539,2020-06-15 21:56:00,Twitter,1864,88.0,0.04721030042918455,1272754784928509953
1548,2020-07-16 15:24:00,Twitter,1683,81.0,0.0481283422459893,1283890165002493954
1557,2020-08-02 10:16:00,Twitter,1457,71.0,0.048730267673301304,1289973246234779648
1559,2020-10-19 19:54:00,Twitter,1005,49.0,0.04875621890547264,1318384952199831556
1579,2020-12-30 06:54:00,Twitter,782,39.0,0.049872122762148335,1344295688834871296
1589,2020-07-19 21:52:00,Twitter,1303,66.0,0.05065234075211052,1285074962357850114
1615,2020-09-14 19:19:00,Twitter,556,29.0,0.052158273381294966,1305692578612994053
1616,2020-12-18 10:43:00,Twitter,1073,56.0,0.0521901211556384,1340004861920882692
1625,2020-06-04 10:45:00,Twitter,3438,182.0,0.05293775450843514,1268599669120274436
1641,2020-10-01 10:48:00,Twitter,1221,66.0,0.05405405405405406,1311724586027937792
1651,2020-10-15 17:15:00,Twitter,1221,67.0,0.054873054873054876,1316895412339511298
1667,2020-10-30 16:54:00,Twitter,1400,78.0,0.055714285714285716,1322325928224137216
1684,2020-08-07 12:04:00,Twitter,1462,83.0,0.05677154582763338,1291812369845366789
1688,2020-11-01 07:14:00,Twitter,1691,97.0,0.05736250739207569,1322919843771932675
1717,2020-12-14 07:08:00,Twitter,1353,81.0,0.0598669623059867,1338501014916390920
1757,2020-06-01 17:02:00,Twitter,3600,225.0,0.0625,1267607362283675649
1762,2020-11-12 06:46:00,Twitter,1218,77.0,0.06321839080459771,1326899059815231488
